metadata.title,0,5
metadata.author,6,19
chapter.title,21,37,1
chapter.title,39,48,2
chapter.title,50,88,3
chapter.text,90,596603,3
chapter.paragraph,90,608,1
chapter.sentence,90,608,1
quote.nonquote,90,28322
chapter.paragraph,610,1107,2
chapter.sentence,610,656,2
chapter.sentence,657,856,3
chapter.sentence,857,1043,4
chapter.sentence,1044,1107,5
chapter.paragraph,1109,1855,3
chapter.sentence,1109,1232,6
chapter.sentence,1233,1306,7
chapter.sentence,1307,1502,8
chapter.sentence,1503,1535,9
chapter.sentence,1536,1855,10
chapter.paragraph,1857,2161,4
chapter.sentence,1857,1900,11
chapter.sentence,1901,2088,12
chapter.sentence,2089,2161,13
chapter.paragraph,2163,2214,5
chapter.sentence,2163,2214,14
chapter.paragraph,2216,2763,6
chapter.sentence,2216,2372,15
chapter.sentence,2373,2577,16
chapter.sentence,2578,2763,17
chapter.paragraph,2765,3035,7
chapter.sentence,2765,2804,18
chapter.sentence,2805,2812,19
chapter.sentence,2813,2850,20
chapter.sentence,2851,2871,21
chapter.sentence,2872,3035,22
chapter.paragraph,3037,3776,8
chapter.sentence,3037,3311,23
chapter.sentence,3312,3605,24
chapter.sentence,3606,3776,25
chapter.paragraph,3778,3914,9
chapter.sentence,3778,3895,26
chapter.sentence,3896,3914,27
chapter.paragraph,3916,4120,10
chapter.sentence,3916,4015,28
chapter.sentence,4016,4120,29
chapter.paragraph,4122,4225,11
chapter.sentence,4122,4225,30
chapter.paragraph,4227,4967,12
chapter.sentence,4227,4503,31
chapter.sentence,4504,4656,32
chapter.sentence,4657,4907,33
chapter.sentence,4908,4967,34
chapter.paragraph,4969,5101,13
chapter.sentence,4969,5101,35
chapter.paragraph,5103,5528,14
chapter.sentence,5103,5123,36
chapter.sentence,5124,5206,37
chapter.sentence,5207,5504,38
chapter.sentence,5505,5528,39
chapter.paragraph,5530,5930,15
chapter.sentence,5530,5930,40
chapter.paragraph,5932,6093,16
chapter.sentence,5932,6037,41
chapter.sentence,6038,6093,42
chapter.paragraph,6095,6723,17
chapter.sentence,6095,6232,43
chapter.sentence,6233,6343,44
chapter.sentence,6344,6354,45
chapter.sentence,6355,6643,46
chapter.sentence,6644,6723,47
chapter.paragraph,6725,8017,18
chapter.sentence,6725,7205,48
chapter.sentence,7206,7251,49
chapter.sentence,7252,7340,50
chapter.sentence,7341,7458,51
chapter.sentence,7459,7475,52
chapter.sentence,7476,7597,53
chapter.sentence,7598,7712,54
chapter.sentence,7713,8017,55
chapter.paragraph,8019,8533,19
chapter.sentence,8019,8164,56
chapter.sentence,8165,8333,57
chapter.sentence,8334,8533,58
chapter.paragraph,8535,8891,20
chapter.sentence,8535,8891,59
chapter.paragraph,8893,9023,21
chapter.sentence,8893,9023,60
chapter.paragraph,9025,9559,22
chapter.sentence,9025,9198,61
chapter.sentence,9199,9322,62
chapter.sentence,9323,9346,63
chapter.sentence,9347,9559,64
chapter.paragraph,9561,10156,23
chapter.sentence,9561,9586,65
chapter.sentence,9587,9831,66
chapter.sentence,9832,10017,67
chapter.sentence,10018,10032,68
chapter.sentence,10033,10113,69
chapter.sentence,10114,10156,70
chapter.paragraph,10158,11263,24
chapter.sentence,10158,10168,71
chapter.sentence,10169,10712,72
chapter.sentence,10713,10743,73
chapter.sentence,10744,10788,74
chapter.sentence,10789,10935,75
chapter.sentence,10936,11053,76
chapter.sentence,11054,11145,77
chapter.sentence,11146,11226,78
chapter.sentence,11227,11263,79
chapter.paragraph,11265,11410,25
chapter.sentence,11265,11332,80
chapter.sentence,11333,11410,81
chapter.paragraph,11412,11884,26
